,Alcohol,Alzheimers & Dementia,Anemia,Asthma,Birth Trauma,Bladder Cancer,Breast Cancer,Cervical Cancer,Colon-Rectum Cancers,Congenital Anomalies,Coronary Heart Disease,Diabetes Mellitus,Diarrhoeal diseases,Drownings,Drug Use,Endocrine Disorders,Falls,Fires,Hepatitis C,HIV/AIDS,Hypertension,Inflammatory/Heart,Kidney Disease,Leukemia,Liver Cancer,Liver Disease,Low Birth Weight,Lung Cancers,Lung Disease,Malaria,Malnutrition,Multiple Sclerosis,Oesophagus Cancer,Oral Cancer,Ovary Cancer,Pancreas Cancer,Peptic Ulcer Disease,Poisonings,Prostate Cancer,Rheumatic Heart Disease,Road Traffic Accidents,Skin Cancers,Skin Disease,Stomach Cancer,Stroke,Suicide,Tuberculosis,Uterin Cancer,Labor Force ,Electricity Production ,Petroleum Consumption ,Total Fertility Rates ,Young Population ,Natural Gas Consumption ,Infant Mortality Rates ,Natural Gas Production ,Taxes ,Maternal Mortality Rates ,Gross Domestic Product (GDP) ,Imports ,Older Population ,Carbon Dioxide Emissions ,Obesity ,Nuclear Electricity ,Electricity by Renewable Sources ,Natural Gas Imports ,Population ,Median Age ,Unimproved Drinking Water Sources ,Crude Oil Exports ,Hydro Electricity ,Electricity Consumption ,Inflation Rates ,External Debts ,Crude Oil Imports ,Birth Rates ,Deaths per Day,Life Expectancy,Emerging Countries,Global North Countries,Global South Countries,Medical Bankruptcies by Country,Richest Countries in the World,Social Mobility by Country,Countries by IQ - Average IQ by Country,Diabetes Rates by Country,Health Care Costs by Country,Lactose Intolerance by Country,Obesity Rates by Country,Zika Virus Countries
Belarus,119.03,0.0,0.72,0.4,1.7,676.27,2.21,17.05,2.85,282.35,2.2,0.1,4.91,3.17,1.05,6.97,4.48,0.01,1.6,2.07,10.19,676.27,3.67,2.31,14.66,0.98,18.53,12.05,0.0,0.17,0.32,3.2,6.03,8.33,7.23,676.27,2.52,5.4,1.59,6.48,1.81,0.19,10.43,88.08,16.49,2.52,2.37,2.29,4381000.0,31580.0,141000.0,1.51,16.1,17700000.0,3.31,59460.0,44.1,2.0,161175.0,31580.0,15.9,56070000.0,24.5,0.0,3.0,17530000.0,9380000.0,40.9,0.3,31730.0,1.0,31720.0,6.0,34750.0,468400.0,9.32,324.0,75.058,9432800.0,Yes,No,9432800.0,61310000000.0,9432800.0,101.6,0.06,9432800.0,9432800.0,0.245,No mosquitoes that spread Zika
Mongolia,194.38,0.0,6.03,2.96,1.04,1062.04,6.3,4.43,5.74,283.82,6.16,1.66,4.7,1.15,2.38,8.37,3.0,0.02,0.61,10.49,10.76,1062.04,1.01,84.53,75.19,3.69,20.59,18.16,0.0,0.01,0.11,19.85,2.94,14.07,4.27,1062.04,2.94,1.11,5.55,21.5,0.81,0.71,28.56,216.3,18.02,10.58,0.32,6.07,1241000.0,5339.0,27000.0,1.93,27.0,0.0,20.6,0.0,25.7,45.0,43540.0,5875.0,4.8,19860000.0,20.6,0.0,11.0,0.0,3225000.0,29.8,35.6,14360.0,2.0,5932.0,4.6,18670.0,0.0,16.32,59.0,70.334,3378078.0,No,Yes,3378078.0,13310000000.0,3378078.0,91.03,0.07,3378078.0,3378078.0,0.20600000000000002,No mosquitoes that spread Zika
Russia,129.19,0.0,0.72,0.56,2.41,727.47,3.64,16.55,3.54,204.5,7.12,0.22,4.19,5.4,1.08,5.79,3.25,0.0,12.88,6.77,26.37,727.47,3.74,4.52,22.5,1.62,22.2,13.54,0.0,0.11,0.44,3.07,4.78,12.19,8.15,727.47,3.11,5.27,1.19,11.23,2.35,1.23,11.8,117.23,21.6,4.61,2.74,7.0,76530000.0,1031000.0,3650000.0,1.6,17.2,467500000.0,6.51,665600000.0,14.7,17.0,3596444.0,238000.0,15.5,1847000000.0,23.1,11.0,1.0,15770000.0,144367000.0,40.3,3.1,4921000.0,21.0,909600.0,3.7,514800.0,76220.0,9.71,5174.0,72.842,145805947.0,Yes,No,145805947.0,1480000000000.0,145805947.0,96.29,0.06,145805947.0,145805947.0,0.231,With mosquitoes but no reported Zika cases
Guatemala,82.54,0.0,2.78,4.47,0.52,732.92,7.09,4.1,5.53,85.26,63.24,18.72,2.75,1.89,3.67,10.84,1.36,0.02,9.24,5.92,1.73,732.92,4.02,16.25,48.7,5.13,3.51,16.5,0.0,14.81,0.17,1.31,1.29,15.26,2.59,732.92,1.66,7.46,0.51,26.54,1.71,1.94,14.12,42.01,6.23,2.31,0.25,27.04,6664000.0,12120.0,89000.0,2.67,33.7,0.0,26.81,0.0,10.8,95.0,138100.0,17110.0,4.7,17150000.0,21.2,0.0,28.0,0.0,16858000.0,23.2,7.2,9383.0,31.0,10100.0,4.4,19090.0,0.0,22.79,237.0,74.828,18584039.0,No,Yes,18584039.0,77600000000.0,18584039.0,47.72,0.13,18584039.0,18584039.0,0.212,Current or past transmission but no Zika outbreak
Slovenia,134.52,0.01,0.23,0.1,3.74,386.06,1.54,14.88,2.29,57.54,6.04,0.06,0.5,1.11,2.27,11.07,0.17,0.0,0.0,11.84,5.17,386.06,4.44,6.04,10.9,1.33,27.44,10.97,0.0,0.0,0.9,2.14,3.62,4.82,8.68,386.06,0.1,8.33,2.49,4.41,3.86,0.08,7.15,31.51,13.97,0.28,2.09,0.72,959000.0,15460.0,52140.0,1.59,14.8,906100.0,1.53,8000.0,43.8,7.0,67903.0,30380.0,21.2,14370000.0,20.2,20.0,9.0,906100.0,2100000.0,44.9,0.5,0.0,34.0,13400.0,1.4,51650.0,0.0,8.5,59.0,81.696,2078034.0,Yes,No,2078034.0,53550000000.0,2078034.0,98.6,0.06,2078034.0,2078034.0,0.20199999999999999,No mosquitoes that spread Zika
El Salvador,68.73,1.92,1.72,1.36,0.61,606.56,7.19,4.87,5.99,82.54,20.97,2.88,2.09,1.15,3.34,3.52,0.33,0.0,14.6,2.11,1.19,606.56,4.8,5.51,12.89,3.59,4.43,20.12,0.0,2.96,0.11,1.22,1.42,1.47,2.49,606.56,0.24,4.56,0.09,21.36,0.88,1.72,10.79,22.58,6.11,0.9,0.64,86.75,2774000.0,5830.0,52000.0,2.07,25.8,0.0,12.38,0.0,20.5,46.0,51170.0,9499.0,7.6,7331000.0,24.6,0.0,29.0,0.0,6766000.0,27.7,6.2,0.0,23.0,5928.0,1.0,14900.0,0.0,18.22,128.0,73.846,6550389.0,No,Yes,6550389.0,24640000000.0,6550389.0,69.63,0.06,6550389.0,6550389.0,0.24600000000000002,Current or past transmission but no Zika outbreak
Ukraine,127.96,0.0,0.29,0.84,2.92,742.34,3.87,16.78,4.71,305.47,3.0,0.65,4.69,2.2,0.71,4.72,2.68,0.02,11.51,1.12,18.55,742.34,3.88,2.91,25.12,2.92,19.75,11.01,0.0,0.12,0.6,2.77,6.55,7.69,7.52,742.34,1.98,5.6,1.18,9.34,2.7,0.45,10.5,89.52,17.73,6.92,3.05,5.38,17990000.0,153600.0,233000.0,1.56,16.2,30920000.0,7.44,19730000.0,31.9,19.0,914290.0,49060.0,17.0,238900000.0,24.1,23.0,3.0,12970000.0,44142000.0,41.2,3.8,413.0,8.0,133200.0,14.4,127700.0,4720.0,9.23,1801.0,72.364,43192122.0,Yes,No,43192122.0,155300000000.0,43192122.0,90.07,0.06,43192122.0,43192122.0,0.24100000000000002,No mosquitoes that spread Zika
Poland,147.81,0.01,0.67,0.19,5.63,502.9,2.83,18.53,3.4,125.44,10.67,0.89,1.39,0.69,1.38,5.99,0.85,0.32,0.27,5.31,5.12,502.9,4.63,3.1,14.35,2.08,34.89,15.56,0.0,0.35,0.82,2.61,5.03,4.61,7.25,502.9,0.46,7.43,0.71,8.18,2.72,0.59,7.91,37.09,9.3,1.0,2.66,0.66,17600000.0,156900.0,649600.0,1.39,14.8,20100000.0,4.22,5748000.0,15.7,2.0,1189207.0,223800.0,18.7,359000000.0,23.1,0.0,19.0,15720000.0,38354000.0,41.9,1.7,4451.0,2.0,149400.0,2.0,344800.0,493100.0,8.69,1089.0,79.108,37739785.0,Yes,No,37739785.0,596630000000.0,37739785.0,96.35,0.07,37739785.0,37739785.0,0.231,No mosquitoes that spread Zika
Latvia,144.34,0.22,0.88,0.6,4.46,640.18,3.93,15.41,2.45,146.65,10.89,0.26,5.64,1.72,1.76,4.77,3.48,1.99,3.65,19.91,30.32,640.18,4.38,3.97,13.03,0.57,23.52,7.5,0.0,0.07,0.68,3.5,6.18,11.98,10.04,640.18,0.96,8.91,0.97,7.17,3.11,1.48,11.16,99.14,16.06,2.34,3.11,4.15,990000.0,6241.0,44600.0,1.54,15.3,1218000.0,4.93,0.0,34.9,19.0,56651.0,15790.0,20.5,8632000.0,23.6,0.0,8.0,1246000.0,1901000.0,44.4,0.7,0.0,53.0,6798.0,2.9,40020.0,0.0,8.96,76.0,75.594,1848837.0,Yes,No,1848837.0,33619999999.999996,1848837.0,94.79,0.06,1848837.0,1848837.0,0.23600000000000002,No mosquitoes that spread Zika
Estonia,130.48,0.2,0.77,0.54,3.45,479.58,2.78,16.5,1.98,80.39,5.04,0.3,1.67,5.73,2.51,4.63,2.17,0.23,2.77,66.42,8.86,479.58,3.75,3.91,17.29,0.76,23.24,6.59,0.0,0.0,0.74,3.85,4.43,6.52,8.77,479.58,0.47,8.53,0.75,3.7,2.51,0.83,10.12,31.23,11.96,0.62,1.99,1.84,670200.0,11550.0,28300.0,1.61,16.2,481400.0,3.47,0.0,40.7,9.0,48439.0,14420.0,21.0,5306000.0,21.2,0.0,28.0,481400.0,1329000.0,43.7,0.4,0.0,0.0,8795.0,3.7,19050.0,0.0,9.03,43.0,79.036,1321910.0,Yes,No,1321910.0,30630000000.0,1321910.0,100.72,0.07,1321910.0,1321910.0,0.212,No mosquitoes that spread Zika
